 1463650697      0,00
 1463650698      0,00
 1463650699      0,00
 1463650700      0,00
 1463650701      0,00
 1463650702      0,00
 1463650703    208,00
 1463650704    784,00
 1463650705    780,00
 1463650706    798,00
 1463650707    785,00
 1463650708    798,00
 1463650709    799,00
 1463650710    787,00
 1463650711    766,00
 1463650712    799,00
 1463650713    779,00
 1463650714    590,00
 1463650715    713,00
 1463650716    623,00
 1463650717    620,00
 1463650718    549,00
 1463650719    500,00
 1463650720    499,00
 1463650721    543,00
 1463650722    563,00
 1463650723    559,00
 1463650724    554,00
 1463650725    553,00
 1463650726    544,00
 1463650727    544,00
 1463650728    663,00
 1463650729    667,00
 1463650730    629,00
 1463650731    613,00
 1463650732    646,00
 1463650733    635,00
 1463650734    552,00
 1463650735    614,00
 1463650736    542,00
 1463650737    543,00
 1463650738    493,00
 1463650739    572,00
 1463650740    665,00
 1463650741    646,00
 1463650742    662,00
 1463650743    573,00
 1463650744    544,00
 1463650745    557,00
 1463650746    559,00
 1463650747    545,00
 1463650748    551,00
 1463650749    535,00
 1463650750    547,00
 1463650751    582,00
 1463650752    685,00
 1463650753    624,00
 1463650754    614,00
 1463650755    590,00
 1463650756    394,00
