 1463650322     0,00
 1463650323     0,00
 1463650324     0,00
 1463650325     0,00
 1463650326     0,00
 1463650327     0,00
 1463650328   689,00
 1463650329   796,00
 1463650330   785,00
 1463650331   798,00
 1463650332   795,00
 1463650333   586,00
 1463650334   429,00
 1463650335   381,00
 1463650336   338,00
 1463650337   385,00
 1463650338   428,00
 1463650339   418,00
 1463650340   427,00
 1463650341   369,00
 1463650342   338,00
 1463650343   335,00
 1463650344   334,00
 1463650345   330,00
 1463650346   331,00
 1463650347   334,00
 1463650348   355,00
 1463650349   352,00
 1463650350   355,00
 1463650351   356,00
 1463650352   359,00
 1463650353   419,00
 1463650354   426,00
 1463650355   405,00
 1463650356   381,00
 1463650357   312,00
 1463650358   282,00
 1463650359   352,00
 1463650360   296,00
 1463650361   287,00
 1463650362   286,00
 1463650363   330,00
 1463650364   337,00
 1463650365   341,00
 1463650366   354,00
 1463650367   362,00
 1463650368   355,00
 1463650369   401,00
 1463650370   440,00
 1463650371   435,00
 1463650372   418,00
 1463650373   337,00
 1463650374   337,00
 1463650375   338,00
 1463650376   329,00
 1463650377   329,00
 1463650378   334,00
 1463650379   343,00
 1463650380   346,00
 1463650381   333,00
 1463650382   345,00
 1463650383   345,00
 1463650384   338,00
 1463650385   338,00
 1463650386   347,00
 1463650387   423,00
 1463650388   446,00
 1463650389   440,00
 1463650390   440,00
 1463650391   325,00
 1463650392   315,00
